#{"t_start": 1785415159.1831498, "env_id": "None"}
r,l,t,best_igd,last_igd
82.800526,300,202.796395,0.04117417542393846,0.041707494223845405
82.602172,300,392.01119,0.04165416919003255,0.04270372065360078
44.732852,300,553.85733,0.058325804808813754,0.05908291957117696
64.220435,300,732.076335,0.05207501304738665,0.05207501304738665
63.432681,300,896.371458,0.05553272425762676,0.055664830805547356
64.57103,300,1069.7866,0.05305046491095852,0.053717213568090595
82.401066,300,1265.107386,0.04115168592468542,0.04190875451741018
46.996792,300,1440.496088,0.05849840543572016,0.05849840543572016
44.655834,300,1624.044373,0.060543038114177404,0.0608169710515783
41.445912,300,1804.721545,0.06145688617017312,0.06150608545893636
50.325722,300,2008.059759,0.05773204701553752,0.05774414572572893
44.068176,300,2232.673342,0.060145783842980236,0.061792191988793564
48.603492,300,2449.358613,0.05892753818507348,0.05953626857808643
50.706759,300,2665.474364,0.0571925607075728,0.058725494534993546
45.468314,300,2880.20779,0.060199885283299726,0.06025333510011812
45.741588,300,3089.956553,0.06083774057424736,0.06083774057424736
46.239395,300,3304.090507,0.058336510550527174,0.05956614922648704
42.471628,300,3518.022573,0.06350842412332143,0.06381973819524958
47.313483,300,3761.736894,0.06064390823845788,0.06112195502124754
63.221755,300,3966.922625,0.05247773622618752,0.05247773622618752
47.712435,300,4198.646544,0.05860145925533774,0.05860145925533774
42.672112,300,4392.079323,0.060618098376869094,0.060765613144561186
81.738166,300,4616.781614,0.04234277572826145,0.044539218848846984
49.676051,300,4846.482979,0.05631715959268869,0.05631848167960594
65.789458,300,5050.069386,0.0495315184047644,0.050059780484195265
82.213763,300,5279.137585,0.039833057344181876,0.04040029392954847
46.247505,300,5493.912519,0.05788727176423798,0.058679278141728484
65.614758,300,5683.449488,0.049634094666606135,0.04968747298760967
83.840658,300,5892.832136,0.039367777761256356,0.040200943177142845
48.401313,300,6098.277183,0.059455325704978884,0.060108344422436434
45.111428,300,6273.977904,0.09328413804731478,0.09509933499307503
81.715628,300,6474.832357,0.0406018868949157,0.04125909976393631
46.019206,300,6697.854956,0.06011049451982621,0.060161602831567865
69.868995,300,6900.194417,0.044831692175717544,0.04507633318050716
