problem,algorithm,train_seed,mean,sd
DTLZ2_3,adaptive_open=False,42,0.0468,0.0004
DTLZ2_3,adaptive_open=False,123,0.0469,0.0004
DTLZ2_3,adaptive_open=False,2022,0.0468,0.0004
DTLZ2_3,adaptive_open=True,42,0.0412,0.0013
DTLZ2_3,adaptive_open=True,123,0.0408,0.0011
DTLZ2_3,adaptive_open=True,2022,0.0413,0.0008
DTLZ4_3,adaptive_open=False,42,0.0627,0.0357
DTLZ4_3,adaptive_open=False,123,0.0688,0.0497
DTLZ4_3,adaptive_open=False,2022,0.0645,0.0355
DTLZ4_3,adaptive_open=True,42,0.0542,0.0247
DTLZ4_3,adaptive_open=True,123,0.0462,0.0039
DTLZ4_3,adaptive_open=True,2022,0.0553,0.0394
WFG4_3,adaptive_open=False,42,0.0707,0.0018
WFG4_3,adaptive_open=False,123,0.0710,0.0019
WFG4_3,adaptive_open=False,2022,0.0715,0.0014
WFG4_3,adaptive_open=True,42,0.0557,0.0013
WFG4_3,adaptive_open=True,123,0.0563,0.0013
WFG4_3,adaptive_open=True,2022,0.0569,0.0011
WFG5_3,adaptive_open=False,42,0.0641,0.0010
WFG5_3,adaptive_open=False,123,0.0636,0.0008
WFG5_3,adaptive_open=False,2022,0.0637,0.0012
WFG5_3,adaptive_open=True,42,0.0480,0.0008
WFG5_3,adaptive_open=True,123,0.0478,0.0008
WFG5_3,adaptive_open=True,2022,0.0480,0.0007
WFG6_3,adaptive_open=False,42,0.0744,0.0224
WFG6_3,adaptive_open=False,123,0.0991,0.0228
WFG6_3,adaptive_open=False,2022,0.0873,0.0233
WFG6_3,adaptive_open=True,42,0.0807,0.0187
WFG6_3,adaptive_open=True,123,0.0654,0.0222
WFG6_3,adaptive_open=True,2022,0.0807,0.0200
WFG7_3,adaptive_open=False,42,0.0603,0.0007
WFG7_3,adaptive_open=False,123,0.0608,0.0007
WFG7_3,adaptive_open=False,2022,0.0609,0.0010
WFG7_3,adaptive_open=True,42,0.0442,0.0008
WFG7_3,adaptive_open=True,123,0.0445,0.0008
WFG7_3,adaptive_open=True,2022,0.0436,0.0009
WFG8_3,adaptive_open=False,42,0.0942,0.0011
WFG8_3,adaptive_open=False,123,0.0947,0.0012
WFG8_3,adaptive_open=False,2022,0.0997,0.0020
WFG8_3,adaptive_open=True,42,0.0817,0.0017
WFG8_3,adaptive_open=True,123,0.0829,0.0014
WFG8_3,adaptive_open=True,2022,0.0829,0.0016
WFG9_3,adaptive_open=False,42,0.0960,0.0238
WFG9_3,adaptive_open=False,123,0.0839,0.0273
WFG9_3,adaptive_open=False,2022,0.0882,0.0262
WFG9_3,adaptive_open=True,42,0.0867,0.0209
WFG9_3,adaptive_open=True,123,0.0550,0.0222
WFG9_3,adaptive_open=True,2022,0.0602,0.0256
