#{"t_start": 1784631092.7875419, "env_id": "None"}
r,l,t,best_igd,last_igd
33.691138,212,242.120817,0.0730689869098738,0.07398984251915598
52.157768,122,394.638784,0.0723653454276562,0.07315734755739342
81.514168,291,718.210432,0.04652692849330271,0.046668263192208126
37.441194,233,995.398497,0.07281758735107371,0.0731632307647187
82.134015,168,1196.26158,0.047841244555155704,0.0488871924544214
58.982437,184,1381.414843,0.06751087831134236,0.06842457039809864
34.998101,61,1457.505404,0.10756975237315189,0.11018496012439845
36.035202,228,1711.24985,0.07376082207070167,0.07450642299608155
81.23497,291,2042.77679,0.04782507564091513,0.04783209662730546
30.672532,126,2191.678732,0.07938003855244266,0.08022911629254355
36.738976,59,2274.894115,0.10754084272124188,0.11197999456462775
80.474045,246,2587.071973,0.046661742804337145,0.04726731204692132
32.663465,262,2896.239885,0.07486766654783429,0.07491991418265545
35.36135,82,2980.596244,0.10624781325055409,0.11027090669902852
81.026345,187,3203.441312,0.0489524755070337,0.04954185126638593
79.826882,191,3414.910247,0.04687184106650591,0.04734454136651561
58.615347,300,3748.118785,0.062155589113234634,0.062155589113234634
38.145488,155,3926.384891,0.07266118615893996,0.07366089861809358
32.760177,257,4208.736259,0.07560427405748656,0.07580342343896845
81.140503,168,4398.824934,0.04782597988002526,0.04820176922976091
56.96484,166,4578.724028,0.06760002243006635,0.06975228531994163
61.817035,300,4960.335726,0.0612010000805433,0.061610925133381865
79.589614,269,5282.035189,0.047670206298570585,0.04800231441674875
35.805839,171,5462.95641,0.07352944809850698,0.07407031448899047
35.006154,209,5706.574769,0.07507666210740958,0.07668693454402688
82.076067,156,5871.746681,0.04815049780598465,0.048310293241956626
59.103589,300,6218.085491,0.06296938099587712,0.06326490092998995
81.967273,124,6345.539764,0.048420453939250784,0.04907409074236122
35.611955,168,6529.377172,0.07655452489473848,0.07723875010973723
52.633161,122,6673.28575,0.07193179666237258,0.07251150319387326
79.80007,234,6933.12517,0.04656735321577313,0.047292241662431976
57.384842,252,7238.976458,0.06371713960934056,0.06447906998114042
36.363597,168,7437.62812,0.07242325103363687,0.07424838008581884
