#{"t_start": 1784631092.7961411, "env_id": "None"}
r,l,t,best_igd,last_igd
80.313037,259,303.177826,0.04694765420149368,0.04725888992720793
36.089481,65,382.376687,0.10551748553090469,0.10767980347550704
37.361453,257,675.496446,0.07213082201177637,0.07602825797773616
34.050475,79,763.201478,0.10682967211723773,0.10812586513272843
80.373409,271,1074.903655,0.04681501291210142,0.04720863933225508
36.076629,293,1397.049622,0.07249673529241972,0.07361452518269213
82.51213,281,1719.616269,0.04713203166098719,0.04717840436026695
57.599723,273,2028.611776,0.06470976221185205,0.06519271957061099
39.546609,174,2240.185447,0.07399930574360175,0.07537946790260276
32.384003,149,2436.886079,0.07636267391669149,0.07751874874305227
39.030836,96,2555.198795,0.102004431726179,0.10222424649260849
80.781315,260,2862.366975,0.04682321151676231,0.04758873119710348
59.071418,191,3082.220295,0.06399949968908795,0.06590421570412484
79.617766,219,3317.049658,0.046483611424192925,0.04672113384695062
29.563439,201,3565.621978,0.07665754419385866,0.07803430701185113
35.887791,297,3887.162111,0.0731331412650204,0.07344798999903646
55.79917,300,4220.574008,0.06530761761317634,0.06542984586283504
81.554921,225,4470.794859,0.04660753947875822,0.046951198636751415
77.611255,183,4673.162037,0.048161408793194124,0.048203703114488225
32.004239,160,4898.13093,0.07709033531210692,0.07748435278487169
52.048005,118,5033.689396,0.07218461023660663,0.0731554577238071
81.991139,178,5240.776922,0.04733819262209638,0.0480641154343891
30.37034,300,5576.149407,0.07376972474258489,0.07376972474258489
57.855637,166,5763.167228,0.06400150030024992,0.065167815478576
54.661029,112,5886.095822,0.06711833970810728,0.06782677595556245
36.655619,275,6195.862663,0.07069107219572202,0.07136760122480185
78.586551,166,6386.999435,0.04743292506532705,0.04852376872544848
58.506748,244,6656.538541,0.0632710538475606,0.0641311256159202
34.508819,250,6932.877359,0.07217494693470149,0.07250057039726143
77.937055,222,7209.593713,0.046256817275504784,0.04721620334563668
80.882914,155,7391.945597,0.04757490331382508,0.04761409909005319
28.138033,105,7518.521813,0.07900041971269425,0.07988457599198832
60.862639,175,7706.425547,0.06031807461554627,0.06265602503284638
81.174239,197,7927.60998,0.047743914224247654,0.04804232063927864
38.339238,235,8179.344116,0.07289321508414552,0.07387693389423423
35.814534,76,8270.292827,0.10803571083510943,0.11040058469318595
39.05017,294,8592.083156,0.07241970053086687,0.07462559479325322
58.194868,196,8827.457157,0.0635983461470112,0.06382458017256612
82.361534,192,9043.82338,0.047601026655201197,0.04802648532254868
82.299712,251,9331.341447,0.04665553452321477,0.04730511166494117
36.783955,181,9556.372106,0.07289942112484071,0.07610907767079747
40.551626,78,9645.257714,0.10448982750605021,0.10654313403647436
40.770088,245,9929.971721,0.06981885900164933,0.07070163368118754
57.050927,278,10255.196426,0.06407413439680897,0.06470494331265954
80.068834,233,10517.269733,0.04728949020234425,0.04745431780221603
36.366346,148,10689.761622,0.07443077105922549,0.0749441303199398
77.585952,120,10828.837694,0.0494286369617239,0.04967964937051367
34.890852,56,10904.90995,0.10796207230891752,0.10940539522848701
80.088041,184,11099.006516,0.04787625610486351,0.04800597179290541
53.71113,191,11336.697892,0.06801597640997756,0.06867048761301046
34.311763,188,11547.85793,0.07426456465480549,0.07475827920572181
56.582592,255,11869.921573,0.06304142773203336,0.06505007086956477
