#{"t_start": 1784631092.7800856, "env_id": "None"}
r,l,t,best_igd,last_igd
81.741913,256,296.261993,0.04691013187572322,0.04696939321658771
31.596707,204,538.339516,0.07724605357634219,0.07911665351601713
56.002476,186,747.191329,0.06703345293585738,0.06732717126332652
33.620799,77,842.432986,0.1062984967803177,0.1095138402230161
31.792372,211,1086.783082,0.07321072646947664,0.07387468536245015
79.596089,231,1330.757831,0.0465872748666206,0.047113987759612876
36.013665,199,1576.048542,0.07375972803818769,0.0751390447523648
56.052289,206,1796.576112,0.06746179433513927,0.0702122280793174
77.843782,130,1930.187886,0.05008024864582254,0.050349491515951035
80.244816,211,2182.753426,0.046961779057912295,0.04803933508446242
34.678979,247,2497.875471,0.07452016210259528,0.07463190062046181
57.793498,288,2835.319396,0.06202989562314842,0.06263296923871647
35.60456,136,3004.485584,0.07380459930234348,0.07610011411532208
80.407244,135,3159.539963,0.049647935281446766,0.05020121052512239
53.419878,165,3336.505225,0.06943841847823747,0.07102175908008286
79.221875,168,3546.395093,0.04791247779089365,0.048049145774587215
56.381591,160,3702.722874,0.06568229704619973,0.06631759306408927
33.321453,185,3920.043738,0.07557977228317628,0.07631400588124664
34.425271,116,4054.587275,0.07688044731822327,0.07733078046566874
56.699079,138,4200.548216,0.0673191434806799,0.06849465557352201
78.210088,185,4412.855579,0.046917758880874266,0.04700533960243081
53.695463,172,4612.143992,0.06993457499989329,0.07093761991019056
79.943929,218,4883.018016,0.04600135740970803,0.04674448833746797
31.615132,137,5049.217782,0.07662873930051943,0.07739261608041853
27.902186,189,5269.785401,0.07649143694132343,0.076875522809919
57.541101,300,5599.7808,0.06360620592877535,0.06435348952846755
80.546676,266,5908.639019,0.04699127266584123,0.04783043792182983
61.059727,254,6178.199254,0.06040334190661242,0.061458673789231526
80.9276,133,6324.311095,0.04899723150932783,0.04958208474683381
36.521406,262,6618.840173,0.07023642756302453,0.07063254867592218
61.070077,300,6961.893962,0.060643359787145044,0.06132546398396347
78.95649,200,7213.46424,0.04821982909542026,0.048306981722766186
38.41214,285,7552.801981,0.07294261498427237,0.0749579388450309
35.235059,175,7742.590999,0.0719848671770835,0.0726452927119851
81.242438,300,8067.272154,0.046015803461073666,0.04613057222247945
55.316808,179,8265.193032,0.06714023876944596,0.06729016794386877
83.636236,184,8468.034843,0.04717984215749231,0.047591556457700704
37.289768,190,8670.670337,0.07333033527253402,0.07523552481376339
58.702058,300,9029.848542,0.0633479652396352,0.063837002543182
81.013128,168,9209.833814,0.04708343487554469,0.04771758611219823
59.097993,300,9602.553927,0.06108405423544103,0.06123444139910647
36.919603,225,9847.582567,0.0690715757861979,0.0693457190218827
82.222222,174,10046.519316,0.04737420567835713,0.04794560373449727
59.38645,300,10382.589392,0.06106018629572608,0.061171872375671725
41.530475,281,10715.467259,0.06941820534558837,0.07308971523914784
