#{"t_start": 1784631092.7926824, "env_id": "None"}
r,l,t,best_igd,last_igd
35.007818,300,349.380059,0.07099316835046664,0.07361200429280451
79.140992,219,610.054943,0.04744409804628696,0.04758920060154281
59.012337,296,937.45062,0.06301018104576274,0.06305147198668785
34.120119,259,1249.013301,0.07412413725514008,0.07485609182343032
77.99303,218,1482.740253,0.04683448706640823,0.04769201764271209
55.513094,220,1731.546259,0.0632353982233796,0.06507044083081576
33.349759,245,1995.459591,0.07442105257172779,0.07460183336721796
35.096152,70,2086.014115,0.10538659482631221,0.10726754117580223
80.764124,254,2411.616473,0.046416263133659194,0.04680947146372645
58.647965,300,2760.499102,0.0608901104398415,0.06275064145722227
80.382798,240,3046.420419,0.04712310468948492,0.047793164090886325
37.958555,251,3324.86644,0.07237059617438017,0.07434911819103401
37.805842,287,3660.5543,0.0725084885326975,0.07349647704375523
34.403264,105,3773.143228,0.10791366564081122,0.10844090956334602
81.453008,222,4022.14461,0.047211663975577044,0.0474129952393464
35.207896,250,4303.362097,0.07262453603990383,0.07443289181421743
80.749438,237,4560.375852,0.047231557268485554,0.04737663544594129
58.10813,300,4937.468605,0.06530000891621228,0.06592952373357552
29.431845,155,5126.099345,0.07635729593762342,0.07811428283607344
58.685818,252,5408.965333,0.061159602037265164,0.06273104322426774
81.866543,234,5668.304886,0.04728856630044713,0.047309512160891395
79.842645,173,5860.860721,0.04742781491223109,0.04790947455825828
57.391206,300,6207.793629,0.06326571217789921,0.06401787218219034
31.312411,149,6368.403878,0.07473353510538637,0.0751934612560101
79.305595,235,6628.709568,0.046994167249644406,0.04778788571976732
58.418487,265,6923.96476,0.061730471983206386,0.062145560258720915
39.668899,216,7191.490346,0.07522061673734218,0.07552301854857614
36.785737,53,7261.107881,0.10884845865146686,0.11267425057687695
78.600348,216,7511.658341,0.0477272455968581,0.047772673309026986
31.277716,178,7706.413845,0.07431691292231966,0.074533619477095
80.304059,187,7911.810283,0.04698254600375913,0.04742226516296746
59.489048,234,8161.94469,0.06370817386912883,0.064319067271642
41.237898,187,8376.588159,0.07082692386745912,0.07136381979094739
38.419256,208,8611.82997,0.07329194907915984,0.07479093594012046
79.832186,153,8793.517687,0.04814028332969889,0.04848226148315001
57.597519,284,9121.854762,0.06250713928697979,0.06410384188619202
