#{"t_start": 1784631092.791254, "env_id": "None"}
r,l,t,best_igd,last_igd
81.758637,167,181.451191,0.04838165468963255,0.04906853477214329
57.890285,283,524.21213,0.0629323058502496,0.06333987358531845
28.226176,184,729.208898,0.07812063425012278,0.07859269392920504
33.685037,196,957.882602,0.07525369086638554,0.07705868479346908
79.095704,228,1227.92203,0.04735343455222446,0.04818511634562308
60.590668,300,1567.844943,0.06253775784326615,0.06253775784326615
81.646071,268,1861.257435,0.04622155270754308,0.04691980987194674
58.575568,177,2060.929051,0.06640545532743922,0.06754139027605073
32.903553,138,2227.005836,0.07670725633767617,0.0767738696156671
81.55016,184,2464.551787,0.04817213435599302,0.04977120151082638
31.953665,62,2542.415069,0.10843637887856668,0.10881285706345516
33.683811,184,2748.335263,0.07528287685077288,0.07869447038082819
30.939377,125,2911.032994,0.07912310458562544,0.07979852436599648
80.401308,163,3098.731758,0.04832747932763917,0.04874297278566507
61.632362,300,3433.085648,0.06079504347247649,0.061659966781589984
56.962746,300,3765.094582,0.06337826671076775,0.06384476485793704
32.553947,237,4035.583214,0.07693631190585234,0.07750295830334324
81.499791,177,4230.228879,0.04710164839787727,0.04763055377749673
55.969667,300,4560.198025,0.06675076645408874,0.06746913729241866
78.294594,179,4787.569742,0.04888484747559115,0.0490589620732624
33.83252,165,4989.050674,0.07609610969552817,0.07719775632297032
32.044903,110,5120.457308,0.08226938916643553,0.0836908114503946
57.928032,191,5337.245005,0.06660880073059143,0.06814050237919357
80.207748,188,5538.003147,0.047490721777436455,0.04821709923076095
78.351734,204,5779.306517,0.048183709393228566,0.04820998780115475
37.901338,246,6051.946829,0.07686092452771516,0.0775410929931794
35.20515,71,6119.562396,0.10791972536118875,0.11102523049533203
57.904574,269,6448.603206,0.0665899966362498,0.06874530616339028
33.891896,289,6760.857749,0.0743385759281911,0.07495728509908671
80.159697,157,6933.096027,0.04879828845106616,0.04934758420803102
80.575171,207,7184.393991,0.04740355697739126,0.04753793274714932
58.656333,300,7547.855039,0.06271070598539982,0.06271070598539982
37.159318,156,7715.585191,0.076352183156273,0.07840130396026031
78.036406,123,7852.260073,0.05015111150480988,0.05024271274071733
41.207595,300,8171.919256,0.07015660221669986,0.0704046287956076
59.389086,296,8509.246408,0.06107985977787314,0.06308596268652915
82.742406,175,8706.633903,0.04691264074345123,0.046980731351729706
35.902386,138,8877.812311,0.10807861087767526,0.10936301186548836
34.324297,118,9001.080347,0.07430805211183392,0.07456301557732672
35.205471,122,9145.406018,0.07831000856036004,0.07858031305682915
61.378664,300,9501.727969,0.06001621348064198,0.06001621348064198
77.350713,190,9708.392524,0.04787426408904509,0.048228455102711495
34.507168,134,9879.855004,0.0744125240793151,0.07545753098663202
81.706841,198,10108.934561,0.047576580235763014,0.047731021094053826
59.746318,300,10444.888705,0.061164342808783134,0.061164342808783134
58.292623,171,10648.581201,0.06481648692724101,0.06627739684568898
35.102631,248,10948.003412,0.07324632723663232,0.07506092539387234
80.599493,156,11118.126567,0.04723097085751153,0.04804827158260083
40.705204,156,11297.898262,0.07306115937203828,0.074055819816049
78.469757,166,11497.21013,0.04732242711260225,0.04750425914625666
60.384284,208,11725.768435,0.06087213228339408,0.061483763116692104
80.775425,180,11970.526897,0.048106787391276044,0.048545843096576106
60.720531,251,12242.235881,0.060768631318561375,0.06127276785324184
35.838914,187,12431.271309,0.07163558651959454,0.07322644822831355
83.041418,300,12781.65254,0.047035102924801814,0.047035102924801814
34.431457,146,12960.840219,0.07417599896885273,0.07588389080647111
57.645891,289,13291.764548,0.06319291514970563,0.0635684139099437
30.643585,110,13412.592491,0.07620713577799743,0.07848267524324228
79.110124,217,13682.180982,0.04650022409550852,0.047407075731225365
62.396881,276,13973.038863,0.06037957008822233,0.06110824184670139
52.787428,106,14105.960435,0.07091350407254773,0.07170151478382256
79.724358,149,14303.485547,0.04883161745077531,0.04962019260845944
32.670994,203,14531.557701,0.07145850152430866,0.07148831621674087
29.568015,143,14703.386562,0.07467128290818642,0.07559136554581224
81.734348,177,14907.246079,0.04705840976732967,0.04757255595718709
52.309,161,15100.070646,0.06775925884863396,0.06922532004491704
80.88805,197,15332.701844,0.04749222978222291,0.04769189437466078
39.34271,152,15495.944233,0.0701882144762123,0.07191367083819049
57.811559,300,15840.300043,0.06140674108422243,0.06144588757489579
53.364344,133,16003.514682,0.07385625941102891,0.07424039845889789
35.44731,211,16250.258813,0.07305198583512014,0.07351834227451641
79.428549,169,16416.154051,0.04740956654077528,0.04803303469291643
79.691057,246,16737.066079,0.04698317959408772,0.04759939968984261
37.307212,127,16879.63235,0.07413218973724116,0.07597969922640438
60.284144,189,17090.499115,0.05962107802989397,0.06194587417237245
80.963493,120,17229.519286,0.04796668514071882,0.048435434617587994
37.01548,299,17587.41927,0.07048860043034982,0.07096556356581835
35.282386,90,17681.333709,0.10910850711331307,0.11061425199187258
33.330187,161,17866.368006,0.0750002610345975,0.07737287825980299
60.902581,202,18091.58022,0.06041952058643189,0.062013354310919644
78.848503,127,18229.074777,0.048078152298547006,0.04879734608992412
34.61049,68,18337.708107,0.1073123474950604,0.11032137745247529
79.539583,219,18580.40541,0.046692742618344045,0.04724311933014198
39.495237,192,18789.450957,0.07083375604937185,0.07119824169308912
60.154073,300,19165.217619,0.060092460115939175,0.06010708205108727
39.145351,123,19305.859464,0.0742313946725141,0.0756657664060849
80.087555,142,19464.204271,0.04899883146914218,0.049288369810116306
36.860734,127,19610.235963,0.0752714733787506,0.07548598292638564
81.665848,197,19833.716293,0.04775732460780138,0.04869926551833171
59.103161,224,20090.151463,0.06303353320197498,0.06430879569064497
35.79417,135,20249.452914,0.07313897330773618,0.07416734146437798
82.869915,219,20496.353202,0.04692990086880931,0.04740213779094905
62.373332,224,20749.769567,0.06208978420503918,0.06217463672080552
80.296765,190,20969.645268,0.047724323790394624,0.04795172775439741
59.716444,226,21231.478915,0.060755252396683605,0.062050483809540015
36.708467,170,21463.170655,0.0729400485874795,0.07368350057674468
37.07704,164,21655.138516,0.07317430316131364,0.07372833008342143
80.875315,279,21955.281313,0.046759871320682135,0.0470681917151348
34.094125,83,22064.207918,0.10576808977777238,0.1103874764185792
36.330655,150,22226.403881,0.07171506134434515,0.07380946308012136
82.24197,138,22381.507643,0.04736779208118244,0.048170621006486676
59.478851,300,22722.432253,0.05981026619959871,0.060344580654773015
81.350082,190,22932.689118,0.046252842074143596,0.0463435026423898
35.439379,131,23078.409305,0.07577476898752389,0.07698793104708608
58.144522,266,23371.283395,0.05989206597882741,0.06127623539994616
61.19008,300,23723.304501,0.059540497362133356,0.059770090371209506
81.28934,274,24026.633216,0.04672935208861896,0.04693890496714857
33.204119,171,24210.90899,0.07185022599444797,0.0736082570909459
57.205663,250,24496.144027,0.06337821818623476,0.06518432741019094
37.863944,136,24653.770067,0.07354590389246277,0.07527348754367469
81.040686,159,24853.055679,0.04766217884283039,0.04823510982840503
34.509527,135,25011.323033,0.07124954594692515,0.07183378394587525
79.148097,300,25329.224524,0.04633610631666661,0.04670162783899442
33.512876,79,25422.629028,0.11016208191137009,0.11161181664800088
77.839402,122,25564.481645,0.04837731254517615,0.048401026160284834
34.611886,99,25678.715694,0.07568776246326316,0.07617988416794412
59.623725,296,26031.111194,0.06237885792887071,0.06367481906832738
40.73635,129,26178.624136,0.07156276532804151,0.07350145122796532
81.376932,157,26352.321812,0.04613828874563246,0.04685834652648258
59.075219,292,26679.420181,0.05952096097057189,0.05966664701960821
56.856038,182,26901.648388,0.06546079951303424,0.06608649205844297
34.530477,208,27103.507529,0.07137259347758221,0.07266267287201719
82.509777,177,27299.098419,0.04626569422845793,0.0466755230425727
81.290813,217,27533.340223,0.046521054103924715,0.04676942012033967
32.926756,215,27781.420247,0.07062827020268836,0.0717506294146895
38.84346,72,27866.405275,0.10513212764396421,0.10738245173128905
43.557993,208,28086.575161,0.0701966625883931,0.07068971270573644
55.06536,146,28297.420343,0.06790498570255966,0.07077786810093334
79.015917,143,28463.514043,0.046933728670253846,0.047228229450255024
81.233452,117,28592.20603,0.04763601534343748,0.047794096211220126
56.434242,181,28795.646892,0.06568012059285472,0.06600803910711879
33.976568,126,28926.517541,0.07330220898614802,0.07401677277506158
36.700057,125,29066.026759,0.07280980895224279,0.07371012207752008
61.005306,241,29342.622082,0.06040859408213249,0.06145138439304045
82.164891,146,29502.345785,0.047188197708284176,0.04741050289452691
40.938105,283,29836.265806,0.06893318655464656,0.06941410669941149
57.625599,152,30013.436715,0.06315142937497104,0.06563470022800394
80.454613,183,30231.26957,0.046992358724476165,0.047141592459446595
29.897164,87,30343.450478,0.0766359136532153,0.07715138481585068
