#{"t_start": 1784631092.8688052, "env_id": "None"}
r,l,t,best_igd,last_igd
37.16032,68,76.461265,0.10506211329848046,0.1068457028519142
34.985021,142,237.419785,0.07468822208831417,0.07500824322689319
79.790404,220,498.942904,0.04741504742098749,0.04756547324201147
55.597799,195,717.889556,0.06782782517240339,0.06931088889075035
32.421872,127,873.504868,0.08081723159741191,0.08128374830908097
82.03931,198,1111.848653,0.04719955306741933,0.04740077166919922
53.387872,115,1238.144,0.0704209155714478,0.0717981392468382
35.738383,256,1519.729307,0.07494057509317978,0.075106238772678
81.621664,259,1809.696857,0.047053365971639005,0.04754277954737743
36.19499,169,1984.413227,0.07400680970028145,0.07514210178450381
56.065725,124,2136.397206,0.07046128530286946,0.07144160693037085
80.981985,233,2445.923875,0.04755709056230953,0.04780875747391488
77.073437,198,2671.037441,0.048442971606078744,0.04869401154094534
32.461847,201,2921.444485,0.07549481187837147,0.07618747077651
59.851016,192,3136.34938,0.06465748384316826,0.06566261722716678
32.630384,209,3371.652936,0.07260268866764998,0.07297962168295068
82.609163,213,3621.238763,0.04636225723585169,0.04723626484980043
58.838452,263,3905.276495,0.06249490723513949,0.06307411888434832
59.046687,233,4165.964221,0.0631814140841639,0.06357927191998174
37.765511,293,4489.501086,0.07124654830526157,0.07217739178251843
80.753417,202,4749.579572,0.04788926884855992,0.04827799922127702
36.973687,56,4810.973939,0.10884309376438346,0.11047037524313819
82.638323,165,5006.314967,0.047598129152622314,0.04775356480570019
33.607878,189,5224.190327,0.07463318888152463,0.07554904535251948
58.357866,300,5559.50572,0.06151690809684486,0.06151690809684486
80.092476,162,5749.344851,0.04838646904927451,0.04842677731426028
32.246447,191,5971.594819,0.07122204139110742,0.07279704537130667
38.193714,164,6136.009121,0.07783940823121809,0.07799554679176977
78.575788,238,6420.940116,0.04712031030233382,0.047266736997327814
59.048121,207,6643.637518,0.0625146793008868,0.06478673924945694
59.426111,300,6981.808029,0.0623918256529074,0.0623918256529074
34.791503,240,7283.165138,0.07278134287441204,0.07308606566947345
81.732459,197,7505.591705,0.04720035299090943,0.04763281278720037
34.363551,212,7749.96932,0.07460153610507686,0.07619152730913416
56.883963,174,7938.444489,0.06547270304418713,0.06678506146928678
81.38653,131,8081.041521,0.04893571504793589,0.049885503867619384
77.876314,125,8205.724537,0.0485131651993658,0.04864351540321788
57.462233,192,8422.527172,0.06531143997447635,0.06571361367141154
31.677177,136,8577.433476,0.08001260068700324,0.080728394477247
35.393575,63,8642.82701,0.10849537029484926,0.11044557096717135
34.539796,172,8858.238506,0.07566884770871248,0.07685016588209911
81.802699,296,9186.38531,0.046587284288275806,0.04685064249851092
34.777261,248,9486.149362,0.07507599919456452,0.07687242886342041
82.798226,204,9721.143929,0.04750604047037299,0.04796419525004819
56.80221,154,9910.858421,0.06654642703165728,0.06675928532555064
33.854363,125,10055.94275,0.07533216727501993,0.0761856957181632
36.525238,80,10147.426388,0.10778534035961868,0.10803453654229253
80.727698,216,10388.681681,0.04664972093127521,0.04692302578540627
79.851032,124,10533.953783,0.04789250498693211,0.0486953565593253
36.49442,178,10746.953233,0.07097150936609214,0.07409442007076439
58.691774,218,11000.350999,0.06333563697427519,0.06446615239470639
81.048644,235,11267.042452,0.04725531691679135,0.04793374910867851
57.668085,239,11542.883896,0.06269881627132337,0.06341998135473272
34.973732,204,11805.248445,0.0729767018485745,0.0746916192805665
54.800949,171,12006.044786,0.06698864673523867,0.0689461293913085
81.072669,207,12229.214862,0.047036490959980644,0.04738416908812309
45.10454,131,12355.777571,0.07315139515478253,0.07370044319277812
34.867417,72,12437.276586,0.10661353753944809,0.10758830050497818
77.961751,157,12626.118837,0.04760026443226924,0.04790535566523052
37.23143,135,12775.574355,0.07482242660445323,0.07744102146199582
81.279884,186,12998.937254,0.0468591302880594,0.04709667249406639
38.54807,188,13222.594902,0.07177151793543497,0.07368931971676941
54.580217,300,13559.351588,0.06684628441077026,0.06702314445905187
55.850431,281,13881.566746,0.0608200798781285,0.06262251544893117
41.781157,142,14047.57129,0.07272452150958433,0.07522698287684013
79.723039,216,14320.284238,0.047589575404416794,0.047958900599571495
41.353195,252,14603.161614,0.0694487640081728,0.06954746476392028
38.249504,94,14733.06473,0.10586661707715117,0.10704018043580517
78.465912,217,14980.406975,0.046785841602263525,0.047165817759752864
79.49438,134,15133.019883,0.04825558684894807,0.04856331773018226
42.642584,117,15271.022701,0.07344879282722988,0.07504089426970792
34.575315,73,15357.015608,0.10777658956194233,0.1081283888673481
83.132306,142,15515.920741,0.04745315510222338,0.04776914582474922
53.433263,169,15712.014886,0.06815234151418965,0.06890371255606659
32.824142,136,15867.83022,0.07806884741990928,0.07896765208973527
79.71341,231,16124.515141,0.046934553216039274,0.04787518649933315
59.559293,238,16382.606255,0.0620475383790947,0.0625264778854865
34.937031,166,16604.961993,0.07204407172776314,0.07224852774992802
79.218343,187,16826.691888,0.04730338695753031,0.04825005656410526
53.530607,183,17019.810543,0.07111640713530444,0.07133031901390265
38.660056,126,17178.92648,0.07256978391986785,0.07334523412945185
37.920593,161,17370.891742,0.07250790944551684,0.07390485826648158
79.980992,110,17489.897816,0.04793987726900428,0.04845473107492714
60.309756,239,17783.360617,0.060163735437420554,0.06356663637411364
80.444047,147,17938.86177,0.047854262353116746,0.04804107931986436
36.168552,165,18120.474706,0.07200064762103636,0.07274388560492528
35.457027,58,18188.646193,0.10707219492493464,0.10889638135629805
32.169602,109,18325.623646,0.0749726166619652,0.07542487902115019
80.954179,151,18500.106588,0.04759351172538372,0.04842984469760211
32.620494,78,18588.356795,0.10561316083040911,0.10907675633217748
57.796794,278,18934.397326,0.06496558931059664,0.06542762925402651
38.662573,157,19109.862468,0.06923503997372867,0.07084287847367704
80.075735,150,19270.211106,0.0475244291078321,0.047768326831779354
78.565105,174,19473.649007,0.04695356725664184,0.04758389142926174
32.259816,140,19628.926473,0.07437864862959258,0.07792927666103772
54.896718,206,19859.275665,0.06738046616948114,0.0694757665045387
36.481689,131,20024.664358,0.07257317815809752,0.07488823587830559
57.743019,199,20249.369723,0.06478175789935744,0.06495452249528873
80.449828,160,20426.860413,0.047467405627476915,0.047616917430395124
40.837064,212,20665.984007,0.06970114265424068,0.07004361284875452
78.266205,116,20804.929288,0.048053346027145574,0.048178861649767056
57.63416,300,21142.039757,0.06320248592923015,0.06320248592923015
37.779091,164,21366.832615,0.0722041615713122,0.07275164013900108
80.356439,131,21531.271129,0.04745487878527438,0.04775966215490875
37.013662,61,21600.407117,0.10519685236170222,0.1070675081169099
80.27481,199,21826.462686,0.04697897934403382,0.04706827247276139
52.526775,118,21942.962172,0.06847382111388056,0.0702596244396046
39.153857,154,22128.244405,0.07125705510548505,0.07203007585505086
32.844965,173,22313.670796,0.07270203831899878,0.07405884142952773
77.893734,171,22509.064188,0.04736242545829976,0.047972848471659106
60.015058,250,22792.580144,0.057523169168505285,0.060811138088792537
35.87044,84,22890.587299,0.10642567784611019,0.11003274737618332
37.866776,227,23141.995186,0.06825689641378539,0.06826728208743212
82.398901,186,23343.775516,0.04680227210724782,0.047004661178024314
37.899215,234,23630.050974,0.06962127780086892,0.07097789852824923
59.47586,214,23862.642993,0.06309138045279448,0.06422969929781905
81.984362,162,24039.517363,0.04678053258106438,0.046823453571022085
56.772693,133,24186.717047,0.0697433110583381,0.07078727031210119
36.038563,86,24293.663259,0.07531798553085638,0.07584329152035614
79.585407,131,24427.73261,0.04623592747720115,0.04761996599395826
34.664892,215,24681.249716,0.0755181622873495,0.07632596884719729
81.638804,128,24836.390182,0.046769080782109444,0.04734673412157443
60.023676,236,25100.375455,0.06178812101792033,0.06271714855414824
37.618577,153,25263.929857,0.06920036820165726,0.07138257145255869
