#{"t_start": 1784631092.761204, "env_id": "None"}
r,l,t,best_igd,last_igd
34.11563,156,164.916283,0.07566492619963862,0.07587340213243003
78.983756,219,442.813289,0.0469223508853393,0.047413461242755764
39.14836,128,582.800366,0.10609583804513636,0.10689177089355038
79.903329,138,739.082535,0.04840075860770498,0.04884381784298479
35.467373,300,1098.562997,0.07250376024282305,0.07250376024282305
36.434362,57,1160.104599,0.10659301520285011,0.10771905494300077
58.772131,300,1492.477465,0.060736747874726,0.06163081221083597
82.146401,239,1767.09895,0.0470671767825508,0.04767454816886502
33.412958,261,2053.773913,0.07570046175586413,0.0767129955430526
76.77579,155,2245.682702,0.049107880241568515,0.05007320055112438
57.184585,300,2623.049369,0.06386498155757418,0.0665018494451396
28.612853,109,2736.253622,0.08531094802883991,0.08592124983996004
41.348076,260,3051.421667,0.07137236865964808,0.07169591418024149
78.308987,215,3284.392387,0.04722539109372346,0.04792053733290005
52.814563,151,3476.197005,0.06776470911161325,0.06961782047269666
59.337334,300,3804.550047,0.061901813563101524,0.061901813563101524
80.911096,272,4107.03559,0.046901322257378704,0.047273867194439885
33.236891,241,4371.663312,0.07617646541337672,0.07687288521842692
54.661969,200,4601.178466,0.07203853022410621,0.07235508734123192
37.553832,150,4783.893414,0.07836572684556566,0.079017018087991
78.501478,240,5077.021035,0.04621827399277637,0.04678054940012219
82.060412,139,5246.256789,0.04928626501131084,0.04958596413689623
59.505292,281,5545.01136,0.06172641740638508,0.06287875470341284
33.067945,235,5814.315851,0.07263221308992451,0.07327284349458849
53.845898,300,6151.981793,0.06609553437375236,0.06609553437375236
82.84935,223,6411.790267,0.04667791890296919,0.04760223464584444
36.531057,192,6610.33751,0.0742133035663766,0.07632339896699572
58.985748,167,6815.259663,0.06337280856525947,0.06558214654991451
82.476216,284,7149.026068,0.047067683426494714,0.04756868326012334
30.95224,119,7295.199237,0.07588333124802275,0.07831931540833784
55.229347,149,7462.551898,0.06805033962304892,0.06931849430188586
36.344614,217,7702.137551,0.07329739719509726,0.07351172709363822
80.029264,185,7905.880432,0.046663562158954806,0.04687206707057453
79.828452,222,8145.239065,0.046275213124734135,0.04678523293072836
40.634117,300,8488.645951,0.06917908211601494,0.06955209060507797
61.265264,245,8767.063805,0.06285530143475056,0.06394619113259871
81.495373,243,9049.061291,0.04718531189932993,0.04802440229863527
61.178121,258,9344.238721,0.059398027235214416,0.0618407057632387
34.417506,155,9538.846668,0.07494876727624056,0.07619398152211129
32.305431,220,9790.466386,0.07418543675003905,0.07489458101244005
57.843708,260,10092.708151,0.06347037797982912,0.06609169019562763
77.998095,223,10342.954488,0.047841765118417943,0.04855389536119177
34.904638,121,10479.029512,0.07763383489566744,0.07768240392014894
36.322569,62,10557.826096,0.10682129835315674,0.10950955738469252
80.154294,156,10740.475118,0.04783745402744439,0.04797717057476372
57.443456,300,11082.073245,0.060665407588477986,0.060984482558719945
36.57559,201,11324.912781,0.07514865337906614,0.0753784502373021
81.050741,230,11588.132683,0.046777691504631874,0.04740667304313359
79.852763,199,11840.449534,0.0468628817114889,0.04700679165557825
55.508559,290,12167.220971,0.062098739074675,0.06269571528792714
36.001331,265,12449.537885,0.07194438363485489,0.07245303538784896
60.161618,241,12736.865386,0.06103709130185654,0.06158796891110397
30.702911,101,12848.636464,0.08124428886806104,0.08145236314496473
79.299361,221,13101.471313,0.04727967607801594,0.04740999158346366
36.00857,79,13201.185153,0.1063618675471669,0.10740412374741723
37.305573,141,13351.852345,0.07375595030075628,0.07386192081331278
82.262678,156,13534.718595,0.047595833111921705,0.04786900637406272
56.586798,183,13752.296986,0.06693312300534338,0.06835972922987285
38.557695,224,14000.861074,0.07380268056175444,0.0766401620807556
80.827363,176,14234.15281,0.046911078719398855,0.04719697741683206
35.521908,162,14414.224219,0.07118032735215252,0.07242903574389084
79.627594,170,14610.661693,0.04748113088851314,0.048154339382686186
34.647851,60,14678.914733,0.10947089287126846,0.11021234464796373
55.672954,239,14964.99563,0.06257824984995973,0.06336390230306568
81.529732,270,15284.122867,0.04635254757595312,0.04653488926565751
29.509947,148,15445.488389,0.07730448038532418,0.07777377758633935
38.156044,164,15630.395783,0.07353020861364312,0.07440839605895383
81.07943,204,15881.724326,0.04676033076317163,0.04698645059550692
54.279557,213,16110.232456,0.07080633432212877,0.07283861321828425
36.639247,86,16226.587067,0.10308611140974915,0.10658080632503306
81.679594,196,16423.484316,0.046485233721806025,0.04700499004766361
34.896726,176,16655.947896,0.07302901094997082,0.07570521547413277
82.8199,191,16874.055755,0.04621218757797619,0.046665912691322455
59.973512,218,17125.885894,0.061375518497385755,0.06268045746259063
32.460296,122,17264.715491,0.07168474917771564,0.07273813031286648
53.136084,110,17403.643437,0.06907307527722109,0.06993578518048453
77.954923,192,17621.345525,0.0463228596510369,0.046694089443895526
36.380922,126,17775.507341,0.07459336503520266,0.07611931733640517
32.489317,299,18098.479509,0.07064068635284355,0.07201631231518417
79.880571,189,18331.932232,0.04767798143574472,0.04782311517255234
33.605117,102,18442.741163,0.1081159077919317,0.11044992932770065
