#{"t_start": 1785317544.9794095, "env_id": "None"}
r,l,t,best_igd,last_igd
48.730703,300,154.479096,0.06076716499631258,0.06175724549217787
45.777343,300,310.91856,0.05927452230046183,0.0594642157008276
44.732852,300,470.214621,0.058325804808813754,0.05908291957117696
42.840438,300,627.93151,0.05877892533753643,0.0590140711192607
45.263159,300,784.457508,0.06058536533026211,0.0612908859467968
46.084807,300,940.785261,0.06094327235848263,0.06118371905121626
47.138949,300,1096.900142,0.061109593878143,0.0611223193653088
83.12902,300,1299.749309,0.04168324373119706,0.04290243762035756
83.538974,300,1496.544895,0.042058934837405776,0.042831699955981066
82.126316,300,1705.649231,0.041925062178089646,0.04285053545416183
82.669342,300,1912.921086,0.04073196961757436,0.04195719702284077
83.038694,300,2118.676072,0.04095376419178799,0.04156447332710267
81.015506,300,2313.027878,0.04160508018186929,0.0429438769293976
82.813366,300,2517.093619,0.04083486372734427,0.041040613202424504
82.288352,300,2713.925629,0.04068372730785632,0.042066106696458196
82.040863,300,2915.061295,0.041516287886963155,0.04169673477462101
80.681345,300,3109.387472,0.04076626365461282,0.04124021681826114
84.000847,300,3312.466457,0.04025782779656349,0.04170543219466268
81.950363,300,3514.779084,0.042348088782881446,0.04421222866903968
82.528991,300,3723.40189,0.040955342488932074,0.041847181127911796
